codeCVM,issuingCompany,companyName,tradingName,cnpj,marketIndicator,typeBDR,dateListing,status,segment,segmentEng,type,market
900049,UQMU,1461 INVESTIMENTOS S.A,1461 INVEST,46639922000144,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900025,PTGU,3R POTIGUAR S.A,3RPOTIGUAR,44186763000144,99,,31/12/9999,A,Não Classificados,Not Classified,7,
908830,TZRD,3Z REALTY DESENVOLVIMENTO IMOBILIARIO S/A,3ZREALTY,8145855000112,1,,31/12/9999,A,Não Classificados,Not Classified,7,
16284,QVQP,524 PARTICIPACOES S.A.,524 PARTICIP,1851771000155,1,,11/09/1998,A,Outros,Others,1,
900391,NNPY,99 PAY INSTITUICAO DE PAGAMENTO S.A.,99 PAY,24313102000125,99,,31/12/9999,A,Não Classificados,Not Classified,7,
904110,GRDR,A  GERADORA  ALUGUEL DE MAQUINAS S.A.,GERADORA,33845322000190,1,,31/12/9999,A,Não Classificados,Not Classified,7,
901082,BODY,A BODYTECH PARTICIPACOES S.A.,BODYTECH,7737623000190,1,,31/12/9999,A,Não Classificados,Not Classified,7,
917521,AACL,A. ANGELONI & CIA LTDA,AANGELONI,83646984000100,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900151,AYOS,A. YOSHII ENGENHARIA E CONSTRUÇÕES LTDA,AYOSHII,78016003000100,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900503,AMCT,A.M.C. TEXTIL LTDA. ,A.M.C. TEXTI,75364570000160,99,,31/12/9999,A,Não Classificados,Not Classified,7,
910141,ATBC,AB CONCESSOES S.A.,ABCONCESSOES,15019317000147,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900043,ABAP,ABA PORTO PARTICIPACOES S/A,ABAPORTO,15255561000109,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900068,ABPR,ABAPORU PARTICIPACOES S/A,ABAPORU,18546405000195,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900063,ABCC,ABC BRASIL COMERCIALIZADORA DE ENERGIA LTDA,ABCBRASIL,29198324000168,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900050,ABMX,ABIMEX IMPORTACAO E EXPORTACAO S/A,ABIMEX,7121351000108,1,,31/12/9999,A,Não Classificados,Not Classified,7,
50335,ABGD,ABRDN PHYSICAL GOLD SHARES ETF,ABDEN GOLD,0,1,DRE,23/03/2022,A,Não Classificados,Not Classified,4,DRE
50327,SIVR,ABRDN PHYSICAL SILVER SHARES ETF,ABDEN SILV,0,1,DRE,23/03/2022,A,Não Classificados,Not Classified,4,DRE
909689,ABRL,ABRIL COMUNICACOES S.A.,ABRIL COM,44597052000162,7,,31/12/9999,A,Não Classificados,Not Classified,7,MB
900076,ACEC,ACECO TI S/A,ACECOTI,43209436000106,1,,31/12/9999,A,Não Classificados,Not Classified,7,
903617,FCEF,ACEF S.A.,ACEF,46722831000178,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900505,ACEE,ACELEN ENERGIA RENOVAVEL S.A. ,ACELEN,50886095000160,99,,31/12/9999,A,Não Classificados,Not Classified,7,
915298,ACHE,ACHE LABORATORIOS FARMACEUTICOS S.A.,ACHELABORAT,60659463002992,99,,31/12/9999,A,Não Classificados,Not Classified,7,
26425,ACOV,AÇO VERDE DO BRASIL S.A.,ACO VERDE,7636657000199,8,,19/07/2023,A,Não Classificados,Not Classified,1,
913996,ACQO,ACQIO HOLDING PARTICIPACOES S.A.,ACQIO HOLDIN,31446280000190,1,,31/12/9999,A,Não Classificados,Not Classified,7,
916986,ACPE,AÇU PETROLEO S.A.,ACU PETROLEO,21778678000170,99,,31/12/9999,A,Não Classificados,Not Classified,7,
910893,QUAT,AÇUCAREIRA QUATA S.A.,QUATA,60855574000173,99,,31/12/9999,A,Não Classificados,Not Classified,7,
900092,ADMA,ADAMI S.A. - MADEIRAS,ADAMI,83054478000121,1,,31/12/9999,A,Não Classificados,Not Classified,7,
900490,ADDI,ADDIANTE S.A.,ADDIANTE,48430290000130,99,,31/12/9999,A,Não Classificados,Not Classified,7,
913574,ADAG,ADECOAGRO VALE DO EVINHEMA S.A.,ADECOAGRO VA,7903169000109,1,,31/12/9999,A,Não Classificados,Not Classified,7,
