"Ativo","Data","roic","roe","roa","margem_liquida","margem_ebit","divida_liquida_ebitda","receita_liquida","ebit","deprec","deprec2","deprec3","deprec4","lucro_liquido","ativo_total","passivo_circulante","total_emprestimos_e_financiamentos","caixa_e_equivalentes","aplicacoes_financeiras","patrimonio_liquido","participacao_nao_controladora_acionistas","total_emprestimos_e_financiamentos_lp","capital_investido","ebitda","divida_bruta","divida_liquida"
"TTEN3<XBSP>","2T2022","-","-","-","-","-","-","-","-","-","-","-","-","-",5526146,2417447000,740273,500991,403780000,2420121,0,667683,2944201,"-",1407956,503185000
"TTEN3<XBSP>","3T2022","-","-","-","-","-","-","-","-","-","-","-","-","-",5828033,2629101000,567206,872401,357875000,2592337,756,585863,2535862,"-",1153069,-77207000.001
"TTEN3<XBSP>","4T2022",11.585823,20.264781067,9.3912369786,8.2949078537,7.8080681236,0.37698319595,6885839,537651,"-",37746,"-","-",571437,6081989,2739186000,599144,724314,154841000,2816976,1579,496926,3062792,575397,1096070,216915000
"TTEN3<XBSP>","1T2023",12.777136449,21.480505255,9.5980056044,8.3282461273,8.1136397341,"-",7417300,601813,"-","-","-","-",619228,6436035,2929521000,694044,931919,159988000,2873626,2149,590504,3108651,"-",1284548,192641000
"TTEN3<XBSP>","2T2023",9.1369507946,19.406887496,9.1567171555,7.4665549357,6.3651085965,1.0054160512,7680356,488863,"-",45290,"-","-",576364,6262703,2578445000,658850,646950,164897000,2953280,1640,690043,3531261,534153,1348893,537046000
"TTEN3<XBSP>","3T2023",10.935236195,19.600580554,9.3944592346,7.6566519612,6.7878988661,0.19297241616,8125784,551570,"-",51283,"-","-",626348,6622659,2799379000,651830,914435,231655000,3172942,1265,610594,3329020,602853,1262424,116334000
"TTEN3<XBSP>","4T2023",8.4860321177,17.118754757,8.3355547359,6.3762968824,4.9082202048,0.093289030158,8998985,441690,"-",57597,"-","-",575287,6883789,2784746000,562129,1028483,197451000,3347737,4154,710383,3435238,499287,1272512,46578000.001
"TTEN3<XBSP>","1T2024",8.9656439954,18.225217276,8.4232458642,6.3493219383,5.2355438709,0.55973721466,9873511,516932,"-",68641,"-","-",628138,7442511,3164288000,608856,935238,146480000,3435222,4523,800629,3805361,585573,1409485,327767000
"TTEN3<XBSP>","2T2024",14.183876514,19.320366911,8.1544916959,6.3759868468,7.8344243123,0.36327296083,10909621,854706,"-",77893,"-","-",696058,8530219,3569024000,649752,1448705,185149000,3594634,5691,1322890,3977093,932599,1972642,338788000
"TTEN3<XBSP>","3T2024",15.920627327,20.276064135,9.323384561,6.6331990234,8.6168613632,0.28979530629,12001841,1034182,"-",86126,"-","-",795648,8538809,3391423000,785800,1635124,10793000,3920102,6232,1184777,4287269,1120308,1970577,324660000
